Time: 1560313845, Messages: 0, Members Joined: 0
Time: 1560315292, Messages: 0, Members Joined: 0
Time: 1560315352, Messages: 5, Members Joined: 0
Time: 1560315384, Messages: 0, Members Joined: 0
Time: 1560315418, Messages: 0, Members Joined: 0
Time: 1560315478, Messages: 1, Members Joined: 0
Time: 1560315536, Messages: 0, Members Joined: 0
Time: 1560315596, Messages: 4, Members Joined: 0
Time: 1560316300, Messages: 0, Members Joined: 0
Time: 1560316366, Messages: 0, Members Joined: 0
Time: 1560316425, Messages: 0, Members Joined: 0
Time: 1560316485, Messages: 3, Members Joined: 0
Time: 1560316844, Messages: 0, Members Joined: 0
Time: 1560317021, Messages: 0, Members Joined: 0
Time: 1560317306, Messages: 0, Members Joined: 0
Time: 1560317366, Messages: 2, Members Joined: 0
Time: 1560317419, Messages: 0, Members Joined: 0
Time: 1560323965, Messages: 0, Members Joined: 0
Time: 1560324025, Messages: 15, Members Joined: 0
Time: 1560324085, Messages: 0, Members Joined: 0
Time: 1560324145, Messages: 0, Members Joined: 0
Time: 1560324205, Messages: 0, Members Joined: 0
Time: 1560324777, Messages: 0, Members Joined: 0
Time: 1560324837, Messages: 0, Members Joined: 0
Time: 1560324971, Messages: 0, Members Joined: 0
Time: 1560325031, Messages: 0, Members Joined: 0
Time: 1560325089, Messages: 0, Members Joined: 0
Time: 1560396308, Messages: 0, Members Joined: 0
Time: 1563495563, Messages: 0, Members Joined: 0
Time: 1564701737, Messages: 0, Members Joined: 0
Time: 1564701797, Messages: 0, Members Joined: 0
